temperature_2m,relativehumidity_2m,cloudcover,windspeed_10m,shortwave_radiation,ts
22.2,70,100,31.7,0.0,2023-01-01 00:00:00
22.2,70,100,31.3,0.0,2023-01-01 01:00:00
22.4,69,100,30.8,0.0,2023-01-01 02:00:00
22.4,69,100,30.3,0.0,2023-01-01 03:00:00
22.3,74,100,31.4,0.0,2023-01-01 04:00:00
22.0,73,100,28.1,0.0,2023-01-01 05:00:00
21.8,74,100,24.3,0.0,2023-01-01 06:00:00
22.0,72,100,25.6,0.0,2023-01-01 07:00:00
22.1,70,100,23.8,0.0,2023-01-01 08:00:00
22.2,69,100,22.3,1.0,2023-01-01 09:00:00
22.6,67,100,24.1,50.0,2023-01-01 10:00:00
23.2,64,100,24.2,133.0,2023-01-01 11:00:00
23.6,65,100,12.7,206.0,2023-01-01 12:00:00
24.8,60,100,5.4,338.0,2023-01-01 13:00:00
25.1,59,100,4.1,280.0,2023-01-01 14:00:00
27.1,52,100,4.7,490.0,2023-01-01 15:00:00
27.3,52,100,5.1,391.0,2023-01-01 16:00:00
26.7,54,100,10.0,187.0,2023-01-01 17:00:00
25.6,61,100,8.9,182.0,2023-01-01 18:00:00
24.0,76,100,11.8,129.0,2023-01-01 19:00:00
23.6,74,100,7.0,128.0,2023-01-01 20:00:00
22.2,93,100,8.2,60.0,2023-01-01 21:00:00
22.6,86,100,6.1,55.0,2023-01-01 22:00:00
21.8,94,100,2.2,11.0,2023-01-01 23:00:00
20.1,90,45,3.8,0.0,2023-01-02 00:00:00
19.8,91,22,10.3,0.0,2023-01-02 01:00:00
19.6,92,27,15.8,0.0,2023-01-02 02:00:00
19.4,93,58,18.8,0.0,2023-01-02 03:00:00
19.1,94,100,19.5,0.0,2023-01-02 04:00:00
19.3,90,100,21.5,0.0,2023-01-02 05:00:00
18.8,90,26,19.8,0.0,2023-01-02 06:00:00
17.6,93,73,21.2,0.0,2023-01-02 07:00:00
17.3,92,100,24.5,0.0,2023-01-02 08:00:00
17.5,89,100,27.7,1.0,2023-01-02 09:00:00
17.6,85,40,27.4,37.0,2023-01-02 10:00:00
18.3,78,100,31.8,247.0,2023-01-02 11:00:00
18.1,77,30,29.5,302.0,2023-01-02 12:00:00
20.8,65,4,26.8,725.0,2023-01-02 13:00:00
22.9,56,2,25.8,894.0,2023-01-02 14:00:00
24.8,44,0,27.3,1014.0,2023-01-02 15:00:00
26.4,36,0,27.5,1078.0,2023-01-02 16:00:00
27.4,31,0,26.8,1074.0,2023-01-02 17:00:00
27.9,28,0,26.3,1006.0,2023-01-02 18:00:00
28.0,28,0,23.7,880.0,2023-01-02 19:00:00
27.8,29,0,20.6,706.0,2023-01-02 20:00:00
27.5,30,0,16.8,499.0,2023-01-02 21:00:00
26.2,38,0,10.9,278.0,2023-01-02 22:00:00
23.0,61,1,9.1,80.0,2023-01-02 23:00:00
21.6,64,0,9.7,1.0,2023-01-03 00:00:00
22.0,60,0,8.4,0.0,2023-01-03 01:00:00
22.1,76,0,20.9,0.0,2023-01-03 02:00:00
21.7,80,0,18.8,0.0,2023-01-03 03:00:00
21.3,79,0,17.7,0.0,2023-01-03 04:00:00
20.8,83,0,15.1,0.0,2023-01-03 05:00:00
20.4,85,0,13.9,0.0,2023-01-03 06:00:00
20.3,85,0,14.9,0.0,2023-01-03 07:00:00
20.2,83,0,14.2,0.0,2023-01-03 08:00:00
20.2,81,8,13.4,1.0,2023-01-03 09:00:00
21.0,76,11,16.6,90.0,2023-01-03 10:00:00
21.9,71,87,17.9,290.0,2023-01-03 11:00:00
22.8,62,32,19.8,450.0,2023-01-03 12:00:00
25.2,54,100,18.8,692.0,2023-01-03 13:00:00
27.4,40,98,20.9,811.0,2023-01-03 14:00:00
28.4,37,79,21.0,935.0,2023-01-03 15:00:00
29.5,32,0,20.6,1051.0,2023-01-03 16:00:00
30.5,25,14,22.3,1064.0,2023-01-03 17:00:00
30.4,24,25,26.5,864.0,2023-01-03 18:00:00
30.6,23,0,26.6,797.0,2023-01-03 19:00:00
30.0,25,0,27.6,707.0,2023-01-03 20:00:00
29.3,25,0,26.6,497.0,2023-01-03 21:00:00
27.5,32,2,25.2,278.0,2023-01-03 22:00:00
25.5,39,4,16.1,78.0,2023-01-03 23:00:00
24.1,42,6,16.7,0.0,2023-01-04 00:00:00
23.2,51,0,23.6,0.0,2023-01-04 01:00:00
22.4,56,0,23.2,0.0,2023-01-04 02:00:00
21.2,69,0,23.7,0.0,2023-01-04 03:00:00
20.2,69,0,20.4,0.0,2023-01-04 04:00:00
19.2,69,0,11.0,0.0,2023-01-04 05:00:00
18.5,73,1,6.3,0.0,2023-01-04 06:00:00
17.5,77,0,5.4,0.0,2023-01-04 07:00:00
16.7,80,0,7.1,0.0,2023-01-04 08:00:00
16.4,80,0,5.4,1.0,2023-01-04 09:00:00
17.9,72,0,8.9,90.0,2023-01-04 10:00:00
20.0,57,5,7.2,290.0,2023-01-04 11:00:00
23.1,41,0,6.8,510.0,2023-01-04 12:00:00
25.6,30,0,9.0,715.0,2023-01-04 13:00:00
26.8,29,0,8.9,884.0,2023-01-04 14:00:00
27.6,29,0,8.6,1004.0,2023-01-04 15:00:00
27.0,40,0,13.6,1066.0,2023-01-04 16:00:00
26.1,43,0,19.0,1064.0,2023-01-04 17:00:00
26.0,41,0,20.7,1000.0,2023-01-04 18:00:00
25.6,49,0,22.1,873.0,2023-01-04 19:00:00
25.3,52,0,20.9,699.0,2023-01-04 20:00:00
24.4,52,0,22.5,493.0,2023-01-04 21:00:00
23.1,60,0,21.0,274.0,2023-01-04 22:00:00
22.7,63,0,20.7,79.0,2023-01-04 23:00:00
22.1,64,0,20.4,0.0,2023-01-05 00:00:00
21.9,63,0,20.3,0.0,2023-01-05 01:00:00
21.7,65,0,19.1,0.0,2023-01-05 02:00:00
21.4,68,0,19.0,0.0,2023-01-05 03:00:00
21.0,70,0,17.8,0.0,2023-01-05 04:00:00
20.6,70,0,16.9,0.0,2023-01-05 05:00:00
20.2,72,0,15.8,0.0,2023-01-05 06:00:00
19.8,76,0,13.3,0.0,2023-01-05 07:00:00
19.6,78,0,11.8,0.0,2023-01-05 08:00:00
19.5,80,0,11.9,1.0,2023-01-05 09:00:00
20.3,76,0,12.1,87.0,2023-01-05 10:00:00
21.5,65,0,12.3,287.0,2023-01-05 11:00:00
22.3,61,0,7.2,505.0,2023-01-05 12:00:00
23.5,58,24,7.2,705.0,2023-01-05 13:00:00
24.6,54,58,8.7,874.0,2023-01-05 14:00:00
25.5,50,41,10.2,995.0,2023-01-05 15:00:00
26.4,43,22,11.7,1059.0,2023-01-05 16:00:00
27.3,35,0,12.6,1058.0,2023-01-05 17:00:00
28.0,30,0,12.8,995.0,2023-01-05 18:00:00
28.7,26,0,14.1,872.0,2023-01-05 19:00:00
29.1,25,0,17.6,700.0,2023-01-05 20:00:00
28.8,26,0,18.9,494.0,2023-01-05 21:00:00
27.7,35,0,18.8,275.0,2023-01-05 22:00:00
25.7,40,0,19.0,79.0,2023-01-05 23:00:00
25.1,46,0,22.0,0.0,2023-01-06 00:00:00
24.3,52,0,23.5,0.0,2023-01-06 01:00:00
23.8,62,0,23.9,0.0,2023-01-06 02:00:00
23.6,71,0,22.0,0.0,2023-01-06 03:00:00
23.4,75,15,21.3,0.0,2023-01-06 04:00:00
23.6,70,36,17.7,0.0,2023-01-06 05:00:00
23.4,66,24,15.5,0.0,2023-01-06 06:00:00
23.3,64,0,14.3,0.0,2023-01-06 07:00:00
22.9,64,0,14.3,0.0,2023-01-06 08:00:00
22.5,68,0,14.2,1.0,2023-01-06 09:00:00
23.3,69,15,16.5,82.0,2023-01-06 10:00:00
24.0,66,3,17.0,275.0,2023-01-06 11:00:00
24.6,69,0,15.1,491.0,2023-01-06 12:00:00
25.7,66,0,14.0,694.0,2023-01-06 13:00:00
26.9,61,0,13.9,862.0,2023-01-06 14:00:00
28.3,56,85,13.3,983.0,2023-01-06 15:00:00
29.4,50,93,14.0,1046.0,2023-01-06 16:00:00
30.3,44,98,17.9,1043.0,2023-01-06 17:00:00
30.9,40,84,23.0,976.0,2023-01-06 18:00:00
31.1,36,25,24.4,855.0,2023-01-06 19:00:00
30.6,38,98,28.9,687.0,2023-01-06 20:00:00
29.0,47,100,31.5,483.0,2023-01-06 21:00:00
27.2,60,100,31.1,257.0,2023-01-06 22:00:00
26.3,62,100,33.0,71.0,2023-01-06 23:00:00
25.3,67,100,31.6,0.0,2023-01-07 00:00:00
25.5,69,98,28.4,0.0,2023-01-07 01:00:00
26.2,63,64,27.5,0.0,2023-01-07 02:00:00
27.0,49,0,30.6,0.0,2023-01-07 03:00:00
26.4,49,0,29.1,0.0,2023-01-07 04:00:00
25.7,52,0,26.6,0.0,2023-01-07 05:00:00
24.9,56,0,23.6,0.0,2023-01-07 06:00:00
24.1,61,0,21.2,0.0,2023-01-07 07:00:00
23.6,65,0,19.5,0.0,2023-01-07 08:00:00
23.2,67,0,18.4,0.0,2023-01-07 09:00:00
23.8,64,0,21.0,79.0,2023-01-07 10:00:00
24.3,59,0,21.9,272.0,2023-01-07 11:00:00
24.6,59,0,19.1,488.0,2023-01-07 12:00:00
25.6,55,41,19.1,692.0,2023-01-07 13:00:00
26.8,50,25,19.2,862.0,2023-01-07 14:00:00
28.2,44,41,17.8,985.0,2023-01-07 15:00:00
29.1,43,0,17.7,1051.0,2023-01-07 16:00:00
29.8,40,0,18.8,1052.0,2023-01-07 17:00:00
30.8,37,16,21.0,989.0,2023-01-07 18:00:00
30.6,34,9,25.2,868.0,2023-01-07 19:00:00
29.5,40,12,30.1,697.0,2023-01-07 20:00:00
28.0,52,15,31.4,491.0,2023-01-07 21:00:00
26.9,61,35,27.4,273.0,2023-01-07 22:00:00
25.6,66,12,27.1,79.0,2023-01-07 23:00:00
24.1,70,5,28.8,0.0,2023-01-08 00:00:00
24.1,75,0,27.8,0.0,2023-01-08 01:00:00
24.5,74,0,24.5,0.0,2023-01-08 02:00:00
25.5,66,0,24.7,0.0,2023-01-08 03:00:00
25.9,55,0,27.4,0.0,2023-01-08 04:00:00
25.2,58,0,22.8,0.0,2023-01-08 05:00:00
24.5,61,18,20.8,0.0,2023-01-08 06:00:00
24.0,63,69,18.9,0.0,2023-01-08 07:00:00
23.5,65,3,17.7,0.0,2023-01-08 08:00:00
23.0,69,0,16.5,0.0,2023-01-08 09:00:00
23.5,67,8,20.0,77.0,2023-01-08 10:00:00
23.9,65,9,21.3,270.0,2023-01-08 11:00:00
24.3,68,17,19.5,486.0,2023-01-08 12:00:00
25.2,66,52,19.2,681.0,2023-01-08 13:00:00
26.3,61,74,19.0,851.0,2023-01-08 14:00:00
27.3,58,27,18.9,976.0,2023-01-08 15:00:00
28.1,56,0,19.8,1044.0,2023-01-08 16:00:00
28.9,51,1,20.5,1040.0,2023-01-08 17:00:00
29.4,44,2,21.0,988.0,2023-01-08 18:00:00
29.8,38,5,18.8,863.0,2023-01-08 19:00:00
29.2,43,5,20.6,693.0,2023-01-08 20:00:00
26.7,63,6,27.0,495.0,2023-01-08 21:00:00
25.3,65,6,30.6,274.0,2023-01-08 22:00:00
23.9,77,6,27.2,77.0,2023-01-08 23:00:00
23.5,79,7,25.3,0.0,2023-01-09 00:00:00
23.6,74,2,25.0,0.0,2023-01-09 01:00:00
23.4,78,0,24.5,0.0,2023-01-09 02:00:00
23.3,82,0,24.3,0.0,2023-01-09 03:00:00
23.2,87,0,21.2,0.0,2023-01-09 04:00:00
23.4,85,0,15.9,0.0,2023-01-09 05:00:00
23.8,72,0,16.1,0.0,2023-01-09 06:00:00
23.9,64,0,19.3,0.0,2023-01-09 07:00:00
23.4,66,0,21.2,0.0,2023-01-09 08:00:00
22.7,71,0,19.6,0.0,2023-01-09 09:00:00
23.1,69,0,19.6,76.0,2023-01-09 10:00:00
23.6,67,0,19.1,269.0,2023-01-09 11:00:00
24.2,65,0,17.6,487.0,2023-01-09 12:00:00
25.2,61,0,16.0,689.0,2023-01-09 13:00:00
26.4,57,0,15.2,860.0,2023-01-09 14:00:00
27.5,53,0,14.2,984.0,2023-01-09 15:00:00
28.3,50,0,15.7,1044.0,2023-01-09 16:00:00
29.1,49,6,19.6,1048.0,2023-01-09 17:00:00
29.0,52,5,22.7,978.0,2023-01-09 18:00:00
28.6,51,4,24.1,846.0,2023-01-09 19:00:00
27.9,56,3,26.8,684.0,2023-01-09 20:00:00
26.6,61,2,29.7,479.0,2023-01-09 21:00:00
25.6,64,7,30.3,268.0,2023-01-09 22:00:00
24.2,72,6,28.5,77.0,2023-01-09 23:00:00
23.5,77,0,29.2,0.0,2023-01-10 00:00:00
23.4,76,0,28.4,0.0,2023-01-10 01:00:00
23.4,78,0,26.7,0.0,2023-01-10 02:00:00
23.4,80,0,24.6,0.0,2023-01-10 03:00:00
23.2,85,0,20.7,0.0,2023-01-10 04:00:00
23.1,79,0,17.5,0.0,2023-01-10 05:00:00
23.2,73,0,15.4,0.0,2023-01-10 06:00:00
23.2,71,0,12.5,0.0,2023-01-10 07:00:00
23.1,72,0,11.8,0.0,2023-01-10 08:00:00
22.9,72,0,12.6,0.0,2023-01-10 09:00:00
23.9,68,99,15.7,74.0,2023-01-10 10:00:00
24.6,63,64,15.9,258.0,2023-01-10 11:00:00
24.4,69,56,14.2,452.0,2023-01-10 12:00:00
25.2,66,17,13.7,680.0,2023-01-10 13:00:00
26.2,62,22,12.7,851.0,2023-01-10 14:00:00
27.4,57,2,12.1,978.0,2023-01-10 15:00:00
28.5,54,13,11.6,1037.0,2023-01-10 16:00:00
29.3,52,30,11.9,1006.0,2023-01-10 17:00:00
29.7,49,36,12.6,833.0,2023-01-10 18:00:00
29.7,47,28,17.1,706.0,2023-01-10 19:00:00
28.0,57,49,23.1,589.0,2023-01-10 20:00:00
26.7,64,46,26.0,386.0,2023-01-10 21:00:00
25.3,71,53,28.4,222.0,2023-01-10 22:00:00
24.9,70,16,26.3,71.0,2023-01-10 23:00:00
24.6,72,23,27.0,0.0,2023-01-11 00:00:00
24.2,77,0,25.8,0.0,2023-01-11 01:00:00
24.1,79,5,22.2,0.0,2023-01-11 02:00:00
24.4,77,0,21.2,0.0,2023-01-11 03:00:00
24.5,79,0,20.5,0.0,2023-01-11 04:00:00
24.6,74,0,16.7,0.0,2023-01-11 05:00:00
24.3,70,94,14.8,0.0,2023-01-11 06:00:00
24.0,71,25,13.4,0.0,2023-01-11 07:00:00
23.7,73,3,11.6,0.0,2023-01-11 08:00:00
23.5,74,1,9.0,0.0,2023-01-11 09:00:00
24.6,71,9,9.4,70.0,2023-01-11 10:00:00
25.8,63,79,7.2,261.0,2023-01-11 11:00:00
25.1,69,100,14.5,389.0,2023-01-11 12:00:00
26.3,65,100,13.0,526.0,2023-01-11 13:00:00
26.2,65,100,15.4,389.0,2023-01-11 14:00:00
26.5,62,100,13.0,369.0,2023-01-11 15:00:00
28.0,54,100,8.8,479.0,2023-01-11 16:00:00
27.7,53,100,5.6,340.0,2023-01-11 17:00:00
25.4,66,100,11.6,390.0,2023-01-11 18:00:00
26.5,60,99,9.9,530.0,2023-01-11 19:00:00
25.5,65,95,13.3,489.0,2023-01-11 20:00:00
24.9,68,95,11.9,305.0,2023-01-11 21:00:00
24.5,70,97,10.0,187.0,2023-01-11 22:00:00
23.6,73,26,14.7,55.0,2023-01-11 23:00:00
23.7,68,5,15.6,0.0,2023-01-12 00:00:00
22.5,77,7,18.7,0.0,2023-01-12 01:00:00
21.8,79,6,12.9,0.0,2023-01-12 02:00:00
21.2,81,0,10.2,0.0,2023-01-12 03:00:00
20.5,85,0,8.6,0.0,2023-01-12 04:00:00
20.0,89,6,9.0,0.0,2023-01-12 05:00:00
19.5,92,15,10.5,0.0,2023-01-12 06:00:00
19.1,95,61,10.8,0.0,2023-01-12 07:00:00
18.9,96,40,10.4,0.0,2023-01-12 08:00:00
18.7,97,100,12.2,0.0,2023-01-12 09:00:00
19.2,94,100,13.8,48.0,2023-01-12 10:00:00
20.6,85,100,13.2,153.0,2023-01-12 11:00:00
21.4,76,100,14.4,300.0,2023-01-12 12:00:00
23.3,66,100,11.3,455.0,2023-01-12 13:00:00
24.9,58,71,9.4,650.0,2023-01-12 14:00:00
26.2,51,100,9.0,806.0,2023-01-12 15:00:00
27.5,44,100,7.6,912.0,2023-01-12 16:00:00
28.1,38,100,8.2,759.0,2023-01-12 17:00:00
28.0,35,100,7.4,652.0,2023-01-12 18:00:00
28.6,32,100,9.5,676.0,2023-01-12 19:00:00
28.5,31,100,7.6,444.0,2023-01-12 20:00:00
28.5,29,80,10.4,348.0,2023-01-12 21:00:00
27.8,29,30,15.2,199.0,2023-01-12 22:00:00
26.7,33,3,16.2,71.0,2023-01-12 23:00:00
25.6,45,13,10.6,0.0,2023-01-13 00:00:00
23.9,72,100,17.2,0.0,2023-01-13 01:00:00
23.7,73,99,14.4,0.0,2023-01-13 02:00:00
23.5,71,100,9.4,0.0,2023-01-13 03:00:00
23.2,70,80,6.9,0.0,2023-01-13 04:00:00
22.8,72,0,5.2,0.0,2023-01-13 05:00:00
21.7,78,8,5.6,0.0,2023-01-13 06:00:00
21.1,81,53,4.9,0.0,2023-01-13 07:00:00
20.4,87,27,5.8,0.0,2023-01-13 08:00:00
19.9,86,18,10.5,0.0,2023-01-13 09:00:00
19.0,76,45,18.9,66.0,2023-01-13 10:00:00
20.5,63,0,17.3,257.0,2023-01-13 11:00:00
22.9,57,0,13.9,477.0,2023-01-13 12:00:00
24.6,50,30,19.3,592.0,2023-01-13 13:00:00
26.6,38,45,20.2,782.0,2023-01-13 14:00:00
28.2,23,14,24.0,859.0,2023-01-13 15:00:00
29.1,20,7,23.4,1019.0,2023-01-13 16:00:00
29.4,19,0,23.7,1062.0,2023-01-13 17:00:00
29.8,19,0,22.4,1007.0,2023-01-13 18:00:00
29.7,17,0,25.2,885.0,2023-01-13 19:00:00
29.2,17,0,24.1,714.0,2023-01-13 20:00:00
28.6,17,0,21.6,508.0,2023-01-13 21:00:00
27.7,19,0,21.9,285.0,2023-01-13 22:00:00
26.3,21,0,16.6,82.0,2023-01-13 23:00:00
24.7,24,0,10.0,0.0,2023-01-14 00:00:00
23.6,27,0,9.5,0.0,2023-01-14 01:00:00
22.5,31,0,9.8,0.0,2023-01-14 02:00:00
21.8,40,0,6.5,0.0,2023-01-14 03:00:00
21.3,47,0,5.5,0.0,2023-01-14 04:00:00
20.1,65,0,8.3,0.0,2023-01-14 05:00:00
20.3,73,0,8.3,0.0,2023-01-14 06:00:00
20.1,75,0,9.3,0.0,2023-01-14 07:00:00
20.0,75,0,8.9,0.0,2023-01-14 08:00:00
20.3,71,0,7.8,0.0,2023-01-14 09:00:00
22.7,61,0,7.3,68.0,2023-01-14 10:00:00
24.5,47,0,9.2,266.0,2023-01-14 11:00:00
25.4,38,0,15.7,490.0,2023-01-14 12:00:00
27.4,29,0,15.3,702.0,2023-01-14 13:00:00
29.0,22,0,12.0,877.0,2023-01-14 14:00:00
30.0,20,0,10.4,1004.0,2023-01-14 15:00:00
30.7,20,0,13.7,1070.0,2023-01-14 16:00:00
30.9,20,0,17.3,1071.0,2023-01-14 17:00:00
30.5,20,0,24.1,1008.0,2023-01-14 18:00:00
30.7,19,0,22.5,888.0,2023-01-14 19:00:00
30.2,20,0,24.2,717.0,2023-01-14 20:00:00
30.1,20,0,21.5,510.0,2023-01-14 21:00:00
29.2,24,0,18.4,286.0,2023-01-14 22:00:00
27.8,30,0,15.5,82.0,2023-01-14 23:00:00
26.5,39,0,11.6,0.0,2023-01-15 00:00:00
26.4,40,0,12.0,0.0,2023-01-15 01:00:00
26.2,43,0,10.7,0.0,2023-01-15 02:00:00
25.7,50,0,10.1,0.0,2023-01-15 03:00:00
25.3,53,0,9.7,0.0,2023-01-15 04:00:00
25.1,54,0,12.1,0.0,2023-01-15 05:00:00
24.5,53,0,13.1,0.0,2023-01-15 06:00:00
24.1,56,0,15.2,0.0,2023-01-15 07:00:00
23.8,54,0,15.7,0.0,2023-01-15 08:00:00
23.4,56,0,14.2,0.0,2023-01-15 09:00:00
24.2,56,0,15.1,66.0,2023-01-15 10:00:00
25.5,48,0,18.1,263.0,2023-01-15 11:00:00
25.7,52,0,13.7,486.0,2023-01-15 12:00:00
27.2,45,0,13.4,692.0,2023-01-15 13:00:00
29.0,38,0,14.5,868.0,2023-01-15 14:00:00
30.6,33,0,13.4,994.0,2023-01-15 15:00:00
31.7,28,0,13.1,1062.0,2023-01-15 16:00:00
32.6,21,0,13.5,1067.0,2023-01-15 17:00:00
32.6,18,0,16.3,1006.0,2023-01-15 18:00:00
32.7,17,0,18.2,884.0,2023-01-15 19:00:00
32.6,18,3,16.9,710.0,2023-01-15 20:00:00
32.0,20,2,17.7,502.0,2023-01-15 21:00:00
30.4,27,25,18.1,279.0,2023-01-15 22:00:00
28.2,37,49,18.3,79.0,2023-01-15 23:00:00
26.8,53,22,19.2,0.0,2023-01-16 00:00:00
26.4,63,0,19.9,0.0,2023-01-16 01:00:00
26.2,63,3,20.4,0.0,2023-01-16 02:00:00
26.4,54,0,22.1,0.0,2023-01-16 03:00:00
26.3,46,0,22.7,0.0,2023-01-16 04:00:00
26.0,45,0,22.2,0.0,2023-01-16 05:00:00
25.5,51,7,20.4,0.0,2023-01-16 06:00:00
25.0,56,19,17.1,0.0,2023-01-16 07:00:00
24.5,62,2,14.6,0.0,2023-01-16 08:00:00
24.2,66,3,10.8,0.0,2023-01-16 09:00:00
25.1,63,3,11.3,60.0,2023-01-16 10:00:00
26.5,55,2,12.8,248.0,2023-01-16 11:00:00
26.7,57,1,10.5,466.0,2023-01-16 12:00:00
28.0,53,5,9.9,668.0,2023-01-16 13:00:00
29.1,48,3,11.2,841.0,2023-01-16 14:00:00
30.3,44,3,12.3,967.0,2023-01-16 15:00:00
31.5,39,29,12.9,1006.0,2023-01-16 16:00:00
32.2,38,19,15.3,948.0,2023-01-16 17:00:00
32.0,38,44,19.7,871.0,2023-01-16 18:00:00
32.0,33,48,19.1,737.0,2023-01-16 19:00:00
31.8,35,49,15.1,601.0,2023-01-16 20:00:00
30.7,42,98,17.0,414.0,2023-01-16 21:00:00
28.4,51,99,27.1,240.0,2023-01-16 22:00:00
27.0,64,91,24.7,63.0,2023-01-16 23:00:00
26.0,73,67,23.4,0.0,2023-01-17 00:00:00
26.4,67,14,25.7,0.0,2023-01-17 01:00:00
26.9,59,2,25.2,0.0,2023-01-17 02:00:00
27.2,53,0,24.3,0.0,2023-01-17 03:00:00
27.2,51,11,23.1,0.0,2023-01-17 04:00:00
26.8,55,26,21.1,0.0,2023-01-17 05:00:00
26.3,58,86,19.7,0.0,2023-01-17 06:00:00
26.0,59,19,19.3,0.0,2023-01-17 07:00:00
25.6,62,0,18.7,0.0,2023-01-17 08:00:00
25.4,63,0,18.4,0.0,2023-01-17 09:00:00
25.9,60,2,19.3,57.0,2023-01-17 10:00:00
26.8,56,9,19.6,240.0,2023-01-17 11:00:00
27.0,52,11,18.4,448.0,2023-01-17 12:00:00
28.3,48,0,16.0,657.0,2023-01-17 13:00:00
29.6,45,3,16.0,834.0,2023-01-17 14:00:00
31.0,41,0,16.1,960.0,2023-01-17 15:00:00
31.9,40,2,16.5,1031.0,2023-01-17 16:00:00
32.3,39,2,22.0,1009.0,2023-01-17 17:00:00
32.4,39,16,28.1,974.0,2023-01-17 18:00:00
32.5,32,55,29.4,825.0,2023-01-17 19:00:00
31.6,39,24,29.8,623.0,2023-01-17 20:00:00
30.0,46,48,29.8,445.0,2023-01-17 21:00:00
28.0,54,30,32.4,239.0,2023-01-17 22:00:00
26.6,67,32,28.2,68.0,2023-01-17 23:00:00
25.5,72,62,33.7,0.0,2023-01-18 00:00:00
25.7,72,0,36.5,0.0,2023-01-18 01:00:00
25.8,75,11,35.3,0.0,2023-01-18 02:00:00
26.4,67,15,36.2,0.0,2023-01-18 03:00:00
26.8,59,95,32.7,0.0,2023-01-18 04:00:00
26.1,58,2,31.5,0.0,2023-01-18 05:00:00
25.0,65,7,28.7,0.0,2023-01-18 06:00:00
24.2,69,0,26.3,0.0,2023-01-18 07:00:00
23.6,72,100,24.1,0.0,2023-01-18 08:00:00
23.1,73,23,23.3,0.0,2023-01-18 09:00:00
23.4,70,100,25.0,55.0,2023-01-18 10:00:00
23.9,69,100,26.0,219.0,2023-01-18 11:00:00
23.8,73,100,18.3,401.0,2023-01-18 12:00:00
24.7,69,100,18.6,405.0,2023-01-18 13:00:00
25.7,64,100,17.6,412.0,2023-01-18 14:00:00
27.6,56,100,15.1,638.0,2023-01-18 15:00:00
28.7,51,100,12.9,744.0,2023-01-18 16:00:00
28.7,52,100,19.8,774.0,2023-01-18 17:00:00
28.8,50,100,23.3,697.0,2023-01-18 18:00:00
28.8,50,100,24.0,709.0,2023-01-18 19:00:00
27.9,56,100,26.9,419.0,2023-01-18 20:00:00
27.2,63,100,29.5,242.0,2023-01-18 21:00:00
26.4,66,100,28.7,146.0,2023-01-18 22:00:00
25.6,73,96,25.3,32.0,2023-01-18 23:00:00
25.0,80,100,24.8,0.0,2023-01-19 00:00:00
25.2,78,100,24.8,0.0,2023-01-19 01:00:00
25.9,75,100,23.8,0.0,2023-01-19 02:00:00
26.9,67,100,27.4,0.0,2023-01-19 03:00:00
27.2,61,100,29.4,0.0,2023-01-19 04:00:00
26.7,56,100,30.1,0.0,2023-01-19 05:00:00
26.0,61,52,29.1,0.0,2023-01-19 06:00:00
25.3,65,8,24.6,0.0,2023-01-19 07:00:00
24.8,67,29,22.0,0.0,2023-01-19 08:00:00
24.7,68,37,20.3,0.0,2023-01-19 09:00:00
25.1,67,1,19.8,48.0,2023-01-19 10:00:00
25.5,65,0,21.3,228.0,2023-01-19 11:00:00
25.0,71,0,14.7,445.0,2023-01-19 12:00:00
26.0,66,9,18.2,635.0,2023-01-19 13:00:00
26.8,64,26,16.8,772.0,2023-01-19 14:00:00
27.5,61,38,13.8,808.0,2023-01-19 15:00:00
28.5,58,30,17.0,908.0,2023-01-19 16:00:00
29.4,56,4,19.8,969.0,2023-01-19 17:00:00
29.7,55,10,22.0,932.0,2023-01-19 18:00:00
29.5,56,11,24.6,780.0,2023-01-19 19:00:00
28.9,58,6,25.5,644.0,2023-01-19 20:00:00
28.1,59,9,25.6,459.0,2023-01-19 21:00:00
27.3,62,22,24.1,253.0,2023-01-19 22:00:00
26.3,67,38,23.7,65.0,2023-01-19 23:00:00
26.1,70,9,23.2,0.0,2023-01-20 00:00:00
25.8,73,7,21.1,0.0,2023-01-20 01:00:00
25.8,75,6,17.3,0.0,2023-01-20 02:00:00
26.8,73,8,18.3,0.0,2023-01-20 03:00:00
27.9,61,0,22.5,0.0,2023-01-20 04:00:00
27.5,62,0,22.8,0.0,2023-01-20 05:00:00
26.8,66,0,22.0,0.0,2023-01-20 06:00:00
26.1,69,0,21.3,0.0,2023-01-20 07:00:00
25.7,71,35,21.0,0.0,2023-01-20 08:00:00
25.3,72,100,20.2,0.0,2023-01-20 09:00:00
25.7,70,100,20.6,48.0,2023-01-20 10:00:00
26.1,67,97,21.1,175.0,2023-01-20 11:00:00
25.8,74,95,20.7,372.0,2023-01-20 12:00:00
27.0,70,100,20.9,562.0,2023-01-20 13:00:00
28.4,65,100,22.9,715.0,2023-01-20 14:00:00
29.1,62,100,19.2,561.0,2023-01-20 15:00:00
29.9,61,100,17.6,611.0,2023-01-20 16:00:00
30.9,56,100,15.3,649.0,2023-01-20 17:00:00
29.8,57,100,10.3,185.0,2023-01-20 18:00:00
28.7,66,100,15.0,131.0,2023-01-20 19:00:00
29.9,60,100,16.8,487.0,2023-01-20 20:00:00
28.7,62,100,18.6,290.0,2023-01-20 21:00:00
27.8,71,100,15.2,87.0,2023-01-20 22:00:00
26.5,75,100,19.4,13.0,2023-01-20 23:00:00
